	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	hlth	nwhite	age	yedu	famsize	empl
						
hi	0.31	-0.01	2.71	2.74	-0.47	0.07
	(0.03)	(0.01)	(0.29)	(0.10)	(0.05)	(0.01)
Constant	3.70	0.17	41.26	11.56	3.98	0.85
	(0.03)	(0.01)	(0.27)	(0.10)	(0.05)	(0.01)
						
Observations	9,395	9,395	9,395	9,395	9,395	9,395
R-squared	0.01	0.00	0.01	0.11	0.01	0.01
Mean no HI	3.70	0.17	41.26	11.56	3.98	0.85
SD no HI	1.01	0.38	8.48	3.29	1.55	0.36
Mean HI	4.01	0.16	43.98	14.31	3.50	0.92
SD HI	0.93	0.36	8.69	2.52	1.29	0.26
Robust standard errors in parentheses						
